Web ID,Reported Date,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Route,Supra Route,lat,lon
52667.0,2019-12-18,4.0,,4,,Alboran route,Western Mediterranean,35.187732269556,-3.3756446982419996
52676.0,2019-12-17,1.0,5.0,6,40.0,Alboran route,Western Mediterranean,36.374076442115005,-3.578461104687
52658.0,2019-12-16,7.0,24.0,31,63.0,Alboran route,Western Mediterranean,35.575701636238996,-3.324309453125
52741.0,2019-12-16,1.0,,1,,Central Mediterranean 3,Central Mediterranean,32.79978094967,14.36372400218
52821.0,2019-12-16,,56.0,56,,Alboran route,Western Mediterranean,35.763981352006,-3.273141230342
52657.0,2019-12-16,1.0,,1,73.0,Alboran route,Western Mediterranean,35.738657092564004,-3.063179920313
52862.0,2019-12-16,2.0,17.0,19,,Algeria route,Western Mediterranean,35.829754886051,-0.960676505342
52651.0,2019-12-10,1.0,6.0,7,3.0,Other,Other,34.8470132,-1.7310033
52644.0,2019-12-06,1.0,,1,,Alboran route,Western Mediterranean,35.2461582,-3.1489695
52820.0,2019-11-29,,70.0,70,,Central Mediterranean 3,Central Mediterranean,34.733997112177,14.773974825254
52633.0,2019-11-28,,3.0,3,,Central Mediterranean 3,Central Mediterranean,32.9065619,13.2583967
52635.0,2019-11-26,,73.0,73,,Alboran route,Western Mediterranean,36.2144014,-3.4195527
52630.0,2019-11-26,4.0,19.0,23,58.0,Alboran route,Western Mediterranean,35.2928695,-2.9252639
52626.0,2019-11-23,,13.0,13,47.0,Central Mediterranean 3,Central Mediterranean,32.9400375,12.0821051
52625.0,2019-11-23,5.0,21.0,26,149.0,Central Mediterranean 3,Central Mediterranean,35.509728903227,12.555303693713
52624.0,2019-11-22,6.0,,6,,Other,Other,32.9032955,13.1900276
52819.0,2019-11-21,,94.0,94,,Central Mediterranean 3,Central Mediterranean,33.223177907417,12.261505741812
52818.0,2019-11-20,,65.0,65,30.0,Central Mediterranean 3,Central Mediterranean,33.180613510825,13.234062536846
52642.0,2019-11-13,2.0,,2,,Other,Other,36.844390412673995,5.743294867024
52602.0,2019-11-08,1.0,,1,,Alboran route,Western Mediterranean,35.2913683,-2.9386082
52601.0,2019-11-07,1.0,,1,,Alboran route,Western Mediterranean,35.2445589,-3.9317468
